"","ID","Time","X","Y","SM"
"1",1,"2011-01-03",2523558.66,5596625.39,45.652
"2",1,"2011-01-03",2523558.66,5596625.39,28.25568421
"3",2,"2011-01-03",2523616.48,5596628.25,41.36783673
"4",3,"2011-01-03",2523677.33,5596624.53,71.22501068
"5",4,"2011-01-03",2523379.85,5596565.82,41.70792079
"6",6,"2011-01-03",2523499.87,5596566.49,33.13326733
"7",7,"2011-01-03",2523559.91,5596566.53,34.76727273
"8",8,"2011-01-03",2523618.67,5596567.16,52.44908041
"9",9,"2011-01-03",2523679.35,5596564.91,70.31317308
"10",10,"2011-01-03",2523739.81,5596567.17,49.66583663
"11",11,"2011-01-03",2523800.82,5596565.97,48.83266667
"12",12,"2011-01-03",2523379.32,5596505.44,39.43924731
"13",13,"2011-01-03",2523440.41,5596504.24,49.59732366
"14",14,"2011-01-03",2523502.18,5596511.83,55.852
"15",15,"2011-01-03",2523561.64,5596505.25,44.83637255
"16",16,"2011-01-03",2523619.1,5596506.42,49.6548
"17",17,"2011-01-03",2523679.75,5596507.1,56.31064815
"18",18,"2011-01-03",2523739.51,5596506.17,42.40907216
"19",19,"2011-01-03",2523799.95,5596505.11,48.35082474
"20",20,"2011-01-03",2523860.43,5596506.76,48.53691429
"21",21,"2011-01-03",2523861.15,5596358.46,50.63826923
"22",22,"2011-01-03",2523379.99,5596444.54,47.58020619
"23",23,"2011-01-03",2523441.18,5596447.49,34.1044
"24",24,"2011-01-03",2523497.86,5596445.55,34.29827835
"25",25,"2011-01-03",2523561.67,5596446.13,34.95252525
"26",26,"2011-01-03",2523619.16,5596446.63,43.75568421
"27",27,"2011-01-03",2523678.77,5596444.5,47.875
"28",28,"2011-01-03",2523743.65,5596449.05,44.01909804
"29",29,"2011-01-03",2523799.4,5596448.26,48.55134615
"30",31,"2011-01-03",2523918.74,5596446.41,54.58745098
"31",32,"2011-01-03",2523979.33,5596446.89,53.29621915
"32",33,"2011-01-03",2523375.29,5596385.91,48.13
"33",34,"2011-01-03",2523439.22,5596384.56,41.79443299
"34",35,"2011-01-03",2523501.73,5596385.98,39.44428571
"35",36,"2011-01-03",2523560.93,5596387.35,47.0193617
"36",37,"2011-01-03",2523616.64,5596385.73,33.75061224
"37",38,"2011-01-03",2523680.29,5596385.12,51.83
"38",39,"2011-01-03",2523739.56,5596387.71,71.9122381
"39",40,"2011-01-03",2523800.66,5596385.82,53.33469388
"40",41,"2011-01-03",2523857.02,5596385.07,41.2361
"41",42,"2011-01-03",2523919.49,5596384.78,44.7843299
"42",43,"2011-01-03",2523980.2,5596386.53,50.5979798
"43",44,"2011-01-03",2524035.8,5596386.21,44.36588235
"44",45,"2011-01-03",2523913.9,5596359.63,52.9831
"45",46,"2011-01-03",2523561.93,5596327.23,35.9643
"46",47,"2011-01-03",2523620.93,5596327.49,40.17415842
"47",48,"2011-01-03",2523683.56,5596327.95,50.04386139
"48",49,"2011-01-03",2523737.08,5596324.84,36.96466019
"49",50,"2011-01-03",2523799.09,5596321.83,67.85299065
"50",51,"2011-01-03",2523448.94,5596602.51,54.9318
"51",52,"2011-01-03",2523495.37,5596583.74,39.63362745
"52",53,"2011-01-03",2523554.73,5596609.85,36.17489796
"53",54,"2011-01-03",2523570.91,5596589.58,48.12584158
"54",56,"2011-01-03",2523681.36,5596597.88,64.98480392
"55",57,"2011-01-03",2523733.57,5596595.07,62.80495238
"56",58,"2011-01-03",2523781.57,5596572.26,48.66229167
"57",59,"2011-01-03",2523396,5596519.74,48.31449474
"58",60,"2011-01-03",2523484.19,5596530.7,27.36927835
"59",62,"2011-01-03",2523563.75,5596532.02,36.70365591
"60",63,"2011-01-03",2523648.06,5596564.93,46.42373737
"61",64,"2011-01-03",2523689.13,5596505.89,51.71267327
"62",65,"2011-01-03",2523694.54,5596556.42,45.5954
"63",66,"2011-01-03",2523747.59,5596528.78,40.3734
"64",67,"2011-01-03",2523838.81,5596522.56,45.28
"65",68,"2011-01-03",2523317.88,5596446.17,46.57602041
"66",69,"2011-01-03",2523323.38,5596480.73,44.09931782
"67",70,"2011-01-03",2523435.97,5596477.47,34.80637255
"68",71,"2011-01-03",2523498.75,5596487.47,44.65149533
"69",72,"2011-01-03",2523502.79,5596494.94,33.74893617
"70",73,"2011-01-03",2523571.8,5596467.1,44.1428866
"71",74,"2011-01-03",2523634.39,5596476.65,43.95187865
"72",75,"2011-01-03",2523672.76,5596463.62,53.23173469
"73",76,"2011-01-03",2523705.75,5596508.25,51.44846939
"74",77,"2011-01-03",2523718.6,5596447.06,59.9325
"75",78,"2011-01-03",2523784.37,5596497.63,43.18510417
"76",79,"2011-01-03",2523790.62,5596462,55.43378788
"77",80,"2011-01-03",2523810.88,5596493.99,41.04635417
"78",81,"2011-01-03",2523859.2,5596490.99,50.1058
"79",82,"2011-01-03",2523322.56,5596401.98,40.26278351
"80",83,"2011-01-03",2523326.52,5596412.59,41.71533981
"81",84,"2011-01-03",2523434.52,5596415.28,37.82576289
"82",85,"2011-01-03",2523458.82,5596449.16,43.5557732
"83",86,"2011-01-03",2523553.59,5596427.82,46.83892473
"84",87,"2011-01-03",2523567.58,5596438.43,40.17903226
"85",88,"2011-01-03",2523643.77,5596442.89,44.78490196
"86",89,"2011-01-03",2523661.08,5596400.14,54.04041237
"87",90,"2011-01-03",2523682.41,5596435.78,63.75404255
"88",91,"2011-01-03",2523703.92,5596456.17,63.72860215
"89",92,"2011-01-03",2523742.95,5596416.7,44.77463918
"90",93,"2011-01-03",2523766.18,5596434.64,46.85678125
"91",94,"2011-01-03",2523839.12,5596431.06,51.53176471
"92",95,"2011-01-03",2523877.45,5596430.49,47.9750495
"93",96,"2011-01-03",2523956.23,5596427.97,45.33884211
"94",97,"2011-01-03",2524024.56,5596403.9,54.38489796
"95",98,"2011-01-03",2524091.17,5596379.07,36.70705263
"96",99,"2011-01-03",2523309.37,5596369.71,39.21808989
"97",101,"2011-01-03",2523370.2,5596331.05,38.67170619
"98",102,"2011-01-03",2523439.55,5596368.09,31.125305
"99",103,"2011-01-03",2523455.93,5596332.62,44.63316832
"100",104,"2011-01-03",2523477.1,5596371.85,41.4923301
"101",105,"2011-01-03",2523497.52,5596337.66,39.59476667
"102",106,"2011-01-03",2523525.13,5596361.23,48.66737374
"103",107,"2011-01-03",2523579.37,5596356.3,45.33990741
"104",108,"2011-01-03",2523648.05,5596350.96,38.05397959
"105",109,"2011-01-03",2523687.49,5596357.88,69.48175824
"106",111,"2011-01-03",2523830.74,5596366.61,21.47683673
"107",112,"2011-01-03",2523863.63,5596350.89,43.13948265
"108",113,"2011-01-03",2523871.59,5596377.24,45.26458925
"109",114,"2011-01-03",2523904.68,5596358.74,49.54989899
"110",115,"2011-01-03",2523938.04,5596365.32,54.64789474
"111",116,"2011-01-03",2523978.71,5596332.86,64.06
"112",117,"2011-01-03",2524012.65,5596364.91,53.69612245
"113",118,"2011-01-03",2524042.94,5596340.99,62.41175
"114",119,"2011-01-03",2524099.38,5596365.77,50.14188119
"115",120,"2011-01-03",2524096.01,5596323.28,45.06
"116",121,"2011-01-03",2523483.46,5596301.56,31.94007527
"117",123,"2011-01-03",2523618.31,5596263.95,40.02916667
"118",124,"2011-01-03",2523625.18,5596260.84,36.05031579
"119",125,"2011-01-03",2523633.03,5596320.24,39.59845361
"120",126,"2011-01-03",2523694.61,5596256.63,28.518
"121",127,"2011-01-03",2523706.79,5596295.1,47.25089109
"122",129,"2011-01-03",2523748.93,5596285.73,40.16117647
"123",130,"2011-01-03",2523806.31,5596316.18,49.90222043
"124",131,"2011-01-03",2523799.25,5596280.89,70.7516
"125",132,"2011-01-03",2523866.3,5596284.03,58.72380211
"126",133,"2011-01-03",2523866.48,5596265.73,59.28886087
"127",134,"2011-01-03",2523921.57,5596244.33,47.52466019
"128",135,"2011-01-03",2523981.25,5596287.32,43.03618557
"129",136,"2011-01-03",2523990.22,5596277.53,53.16049505
"130",137,"2011-01-03",2524049.36582,5596314.82624,55.61164835
"131",138,"2011-01-03",2524050.45,5596276.18,39.99041237
"132",139,"2011-01-03",2524050.69,5596306.12,46.44416667
"133",140,"2011-01-03",2523657.3,5596242.87,42.22066667
"134",141,"2011-01-03",2523639.87,5596219.89,37.7594898
"135",142,"2011-01-03",2523692.92,5596212.57,47.12510638
"136",143,"2011-01-03",2523705.54,5596226.85,39.57510638
"137",144,"2011-01-03",2523747.84,5596204.56,55.38295918
"138",145,"2011-01-03",2523795.7,5596238.7,50.5356701
"139",146,"2011-01-03",2523816.54,5596210.82,39.2977551
"140",147,"2011-01-03",2523936.36,5596237.75,49.50381443
"141",148,"2011-01-03",2523876.3,5596213.96,45.60972151
"142",149,"2011-01-03",2523913.52,5596218.86,34.26917526
"143",150,"2011-01-03",2523698.5,5596260.55,36.47458333
